rowid,symbol,tf,open_time_ms,o,h,l,c,v,convention
435046,MNQ,1m,1788340680000,28980.5,28993.0,28978.5,28989.5,956.0,epoch_floor
435047,MNQ,1m,1788340740000,28989.0,28996.0,28986.5,28990.5,824.0,epoch_floor
435048,MNQ,1m,1788340800000,28990.25,28990.25,28976.0,28978.5,980.0,epoch_floor
435049,MNQ,1m,1788340860000,28978.5,28982.75,28971.0,28971.25,927.0,epoch_floor
435050,MNQ,1m,1788340920000,28972.0,28972.0,28963.25,28965.5,970.0,epoch_floor
435051,MNQ,1m,1788340980000,28964.5,28966.5,28956.75,28958.75,916.0,epoch_floor
435052,MNQ,1m,1788341040000,28958.5,28969.75,28957.0,28968.25,794.0,epoch_floor
435053,MNQ,1m,1788341100000,28968.0,28970.5,28964.75,28964.75,500.0,epoch_floor
435054,MNQ,1m,1788341160000,28965.0,28974.5,28960.5,28971.75,924.0,epoch_floor
435055,MNQ,1m,1788341220000,28971.25,28982.25,28971.0,28975.25,911.0,epoch_floor
435056,MNQ,1m,1788341280000,28975.25,28978.25,28974.0,28975.5,348.0,epoch_floor
435057,MNQ,1m,1788341340000,28975.0,28979.75,28974.5,28978.25,287.0,epoch_floor
435058,MNQ,1m,1788341400000,28978.25,28981.25,28974.75,28976.5,567.0,epoch_floor
435059,MNQ,1m,1788341460000,28976.25,28980.25,28957.75,28961.25,1126.0,epoch_floor
435060,MNQ,1m,1788341520000,28962.0,28963.0,28958.75,28958.75,499.0,epoch_floor
435061,MNQ,1m,1788341580000,28959.0,28959.0,28949.0,28953.5,2062.0,epoch_floor
435062,MNQ,1m,1788341640000,28953.0,28957.0,28950.0,28954.75,662.0,epoch_floor
435063,MNQ,1m,1788341700000,28953.75,28954.75,28947.75,28949.75,689.0,epoch_floor
435064,MNQ,1m,1788341760000,28949.5,28950.25,28940.75,28947.0,1519.0,epoch_floor
435065,MNQ,1m,1788341820000,28946.25,28953.25,28945.0,28949.75,746.0,epoch_floor
435066,MNQ,1m,1788341880000,28949.75,28958.5,28945.75,28949.75,868.0,epoch_floor
435067,MNQ,1m,1788341940000,28950.0,28955.25,28947.5,28949.0,437.0,epoch_floor
435068,MNQ,1m,1788342000000,28949.75,28955.0,28946.75,28951.5,438.0,epoch_floor
435069,MNQ,1m,1788342060000,28952.0,28957.75,28952.0,28957.75,358.0,epoch_floor
435070,MNQ,1m,1788342120000,28957.25,28958.75,28949.0,28949.0,635.0,epoch_floor
435071,MNQ,1m,1788342180000,28948.75,28954.5,28948.5,28952.75,318.0,epoch_floor
435072,MNQ,1m,1788342240000,28952.5,28954.0,28946.25,28949.0,463.0,epoch_floor
435073,MNQ,1m,1788342300000,28949.0,28960.0,28949.0,28953.5,699.0,epoch_floor
435074,MNQ,1m,1788342360000,28953.5,28953.5,28947.25,28950.0,443.0,epoch_floor
435075,MNQ,1m,1788342420000,28950.0,28961.5,28949.5,28954.0,640.0,epoch_floor
435076,MNQ,1m,1788342480000,28954.5,28961.0,28954.0,28957.75,558.0,epoch_floor
